,Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status
328,CONV-0329,cannot connect to wi-fi,Run a system diagnostic tool.,79 minutes,account,Resolved after follow-up
329,CONV-0330,slow system performance,Run a system diagnostic tool.,64 minutes,account,Resolved
330,CONV-0331,slow system performance,Restart your router.,96 minutes,hardware,Resolved after follow-up
331,CONV-0332,software installation failure,Restart your router.,94 minutes,software,Escalated
332,CONV-0333,cannot connect to wi-fi,Restart your router.,64 minutes,performance,Resolved after follow-up
333,CONV-0334,software installation failure,Run a system diagnostic tool.,104 minutes,performance,Resolved after follow-up
334,CONV-0335,software installation failure,Run a system diagnostic tool.,31 minutes,network,Escalated
335,CONV-0336,slow system performance,Restart your router.,62 minutes,performance,Resolved after follow-up
336,CONV-0337,forgot password,Run a system diagnostic tool.,22 minutes,network,Pending
337,CONV-0338,blue screen error,Reset your password using the link provided.,44 minutes,hardware,Resolved after follow-up
338,CONV-0339,software installation failure,Verify your email settings.,45 minutes,software,Resolved
339,CONV-0340,cannot connect to wi-fi,Reinstall the printer drivers.,111 minutes,software,Resolved
340,CONV-0341,unable to access email,Restart your router.,52 minutes,network,Resolved after follow-up
341,CONV-0342,slow system performance,Reset your password using the link provided.,86 minutes,network,Pending
342,CONV-0343,cannot connect to wi-fi,Verify your email settings.,102 minutes,hardware,Resolved
343,CONV-0344,cannot connect to wi-fi,Restart your router.,46 minutes,performance,Resolved
344,CONV-0345,slow system performance,Reset your password using the link provided.,15 minutes,software,Resolved after follow-up
345,CONV-0346,forgot password,Verify your email settings.,5 minutes,hardware,Resolved after follow-up
346,CONV-0347,slow system performance,Reset your password using the link provided.,27 minutes,account,Pending
347,CONV-0348,printer not responding,Reinstall the printer drivers.,21 minutes,software,Pending
348,CONV-0349,slow system performance,Restart your router.,101 minutes,performance,Resolved after follow-up
349,CONV-0350,blue screen error,Run a system diagnostic tool.,63 minutes,performance,Resolved after follow-up
350,CONV-0351,unable to access email,Reset your password using the link provided.,68 minutes,hardware,Resolved
351,CONV-0352,blue screen error,Verify your email settings.,62 minutes,performance,Pending
352,CONV-0353,slow system performance,Clear cache and remove unnecessary programs.,37 minutes,software,Resolved
353,CONV-0354,printer not responding,Reinstall the printer drivers.,111 minutes,account,Resolved after follow-up
354,CONV-0355,forgot password,Run a system diagnostic tool.,96 minutes,network,Resolved after follow-up
355,CONV-0356,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,90 minutes,network,Resolved after follow-up
356,CONV-0357,printer not responding,Reinstall the printer drivers.,17 minutes,network,Resolved
357,CONV-0358,printer not responding,Run a system diagnostic tool.,71 minutes,network,Pending
358,CONV-0359,printer not responding,Clear cache and remove unnecessary programs.,39 minutes,performance,Pending
359,CONV-0360,unable to access email,Follow the software installation guide.,96 minutes,hardware,Resolved
360,CONV-0361,unable to access email,Clear cache and remove unnecessary programs.,86 minutes,hardware,Pending
361,CONV-0362,slow system performance,Reinstall the printer drivers.,50 minutes,performance,Resolved
362,CONV-0363,printer not responding,Verify your email settings.,38 minutes,hardware,Resolved
363,CONV-0364,software installation failure,Reset your password using the link provided.,110 minutes,account,Escalated
364,CONV-0365,printer not responding,Verify your email settings.,98 minutes,hardware,Pending
365,CONV-0366,blue screen error,Verify your email settings.,23 minutes,performance,Pending
366,CONV-0367,forgot password,Reinstall the printer drivers.,78 minutes,hardware,Pending
367,CONV-0368,software installation failure,Run a system diagnostic tool.,88 minutes,hardware,Pending
368,CONV-0369,printer not responding,Restart your router.,27 minutes,network,Escalated
369,CONV-0370,cannot connect to wi-fi,Run a system diagnostic tool.,8 minutes,performance,Pending
370,CONV-0371,unable to access email,Verify your email settings.,34 minutes,account,Resolved
371,CONV-0372,unable to access email,Reinstall the printer drivers.,105 minutes,account,Escalated
372,CONV-0373,slow system performance,Reset your password using the link provided.,15 minutes,performance,Escalated
373,CONV-0374,printer not responding,Follow the software installation guide.,73 minutes,hardware,Pending
374,CONV-0375,slow system performance,Reset your password using the link provided.,69 minutes,account,Escalated
375,CONV-0376,blue screen error,Clear cache and remove unnecessary programs.,70 minutes,account,Resolved after follow-up
376,CONV-0377,cannot connect to wi-fi,Reinstall the printer drivers.,55 minutes,hardware,Resolved
377,CONV-0378,slow system performance,Restart your router.,22 minutes,performance,Resolved
378,CONV-0379,cannot connect to wi-fi,Verify your email settings.,80 minutes,software,Pending
379,CONV-0380,blue screen error,Reset your password using the link provided.,63 minutes,account,Resolved
380,CONV-0381,slow system performance,Reset your password using the link provided.,86 minutes,performance,Resolved
381,CONV-0382,slow system performance,Clear cache and remove unnecessary programs.,80 minutes,account,Resolved after follow-up
382,CONV-0383,printer not responding,Clear cache and remove unnecessary programs.,22 minutes,software,Escalated
383,CONV-0384,blue screen error,Reset your password using the link provided.,69 minutes,software,Resolved
384,CONV-0385,cannot connect to wi-fi,Run a system diagnostic tool.,6 minutes,network,Escalated
385,CONV-0386,unable to access email,Reset your password using the link provided.,95 minutes,network,Pending
386,CONV-0387,slow system performance,Reinstall the printer drivers.,37 minutes,performance,Resolved
387,CONV-0388,printer not responding,Reinstall the printer drivers.,112 minutes,network,Pending
388,CONV-0389,printer not responding,Verify your email settings.,107 minutes,network,Resolved after follow-up
389,CONV-0390,forgot password,Verify your email settings.,10 minutes,hardware,Resolved after follow-up
390,CONV-0391,blue screen error,Clear cache and remove unnecessary programs.,19 minutes,performance,Resolved
391,CONV-0392,blue screen error,Run a system diagnostic tool.,107 minutes,network,Resolved
392,CONV-0393,forgot password,Reset your password using the link provided.,75 minutes,hardware,Resolved after follow-up
393,CONV-0394,blue screen error,Run a system diagnostic tool.,27 minutes,hardware,Resolved
394,CONV-0395,blue screen error,Follow the software installation guide.,78 minutes,network,Escalated
395,CONV-0396,software installation failure,Run a system diagnostic tool.,74 minutes,account,Resolved after follow-up
396,CONV-0397,blue screen error,Restart your router.,118 minutes,account,Escalated
397,CONV-0398,blue screen error,Restart your router.,78 minutes,account,Resolved
398,CONV-0399,printer not responding,Verify your email settings.,67 minutes,hardware,Resolved
399,CONV-0400,forgot password,Restart your router.,18 minutes,hardware,Pending
400,CONV-0401,unable to access email,Run a system diagnostic tool.,68 minutes,network,Resolved after follow-up
401,CONV-0402,unable to access email,Run a system diagnostic tool.,93 minutes,software,Resolved after follow-up
402,CONV-0403,software installation failure,Reinstall the printer drivers.,58 minutes,software,Escalated
403,CONV-0404,unable to access email,Reinstall the printer drivers.,113 minutes,software,Escalated
404,CONV-0405,slow system performance,Restart your router.,55 minutes,software,Escalated
405,CONV-0406,printer not responding,Verify your email settings.,109 minutes,account,Resolved after follow-up
406,CONV-0407,forgot password,Clear cache and remove unnecessary programs.,90 minutes,network,Escalated
407,CONV-0408,slow system performance,Reset your password using the link provided.,92 minutes,software,Resolved
408,CONV-0409,forgot password,Follow the software installation guide.,88 minutes,network,Escalated
409,CONV-0410,blue screen error,Restart your router.,29 minutes,software,Resolved after follow-up
410,CONV-0411,blue screen error,Verify your email settings.,37 minutes,network,Resolved after follow-up
411,CONV-0412,blue screen error,Clear cache and remove unnecessary programs.,98 minutes,network,Resolved after follow-up
412,CONV-0413,cannot connect to wi-fi,Run a system diagnostic tool.,59 minutes,account,Escalated
413,CONV-0414,software installation failure,Verify your email settings.,46 minutes,network,Resolved
414,CONV-0415,slow system performance,Follow the software installation guide.,56 minutes,performance,Escalated
415,CONV-0416,printer not responding,Reset your password using the link provided.,94 minutes,performance,Resolved
416,CONV-0417,unable to access email,Reset your password using the link provided.,86 minutes,software,Pending
417,CONV-0418,software installation failure,Clear cache and remove unnecessary programs.,7 minutes,network,Escalated
418,CONV-0419,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,83 minutes,hardware,Resolved
419,CONV-0420,printer not responding,Restart your router.,69 minutes,performance,Resolved after follow-up
420,CONV-0421,cannot connect to wi-fi,Reset your password using the link provided.,79 minutes,software,Resolved
421,CONV-0422,forgot password,Verify your email settings.,76 minutes,hardware,Escalated
422,CONV-0423,unable to access email,Reinstall the printer drivers.,58 minutes,account,Pending
423,CONV-0424,software installation failure,Run a system diagnostic tool.,71 minutes,performance,Pending
424,CONV-0425,blue screen error,Restart your router.,41 minutes,account,Resolved after follow-up
425,CONV-0426,blue screen error,Verify your email settings.,34 minutes,hardware,Resolved
426,CONV-0427,unable to access email,Reset your password using the link provided.,66 minutes,performance,Pending
427,CONV-0428,unable to access email,Follow the software installation guide.,66 minutes,software,Resolved after follow-up
